Model,Configuration,lumber,plywood: 2654,MDF,Veneer,nails,,staple,glue,fabric,thread,foam,foam glue: 2501,fiber padding (100g): 2509,fiber padding (200g): 2697,fiber ball: 2584,duck down,goose down,legs,base,Webbing:4874,packing,carpenter,seamstress,foam labor,Upholster labor,Packing labor,Labor Total,Manufacture total,Overhead,50% profit ,30% profit,Retail
AC-2048,Armless Loveseat,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
AC-2048,Armless Sofa with Right Corner,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
AC-2048,Chair,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
AC-2048,Corner,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
AC-2048,Left One-Arm Chair,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
AC-2048,Left One-Arm Chaise,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
AC-2048,Left One-Arm Loveseat,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
AC-2048,Left One-Arm Sofa,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
AC-2048,Loveseat,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
AC-2048,Ottoman,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
AC-2048,Right One-Arm Chair,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
AC-2048,Right One-Arm Chaise,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
AC-2048,Right One-Arm Loveseat,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
AC-2048,Right One-Arm Sofa,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
AC-2048,Sofa,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
AC-2051,Armless Loveseat with Bumper,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
AC-2051,Armless Sofa with Bumper,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
AC-2051,Corner with Armless Bumper,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
AC-2051,Day Bed,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
AC-2051,Left One-Arm Chair with Corner,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
AC-2051,Left One-Arm Loveseat with Corner,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
AC-2051,Left One-Arm Sofa,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
AC-2051,Loveseat,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
AC-2051,Right One-Arm Chair with Corner,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
AC-2051,Right One-Arm Loveseat with Corner,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
AC-2051,Right One-Arm Sofa,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
AC-2051,Sofa,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
AC-2053,Armless Loveseat,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
AC-2053,Corner,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
AC-2053,Left Armless Chair with Bumper,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
AC-2053,Left Armless Loveseat with Bumper,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
AC-2053,Left One-Arm Chair,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
AC-2053,Left One-Arm Chaise,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
AC-2053,Left One-Arm Loveseat,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
AC-2053,Loveseat,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
AC-2053,Ottoman,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
AC-2053,Right Armless Chair with Bumper,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
AC-2053,Right Armless Loveseat with Bumper,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
AC-2053,Right One-Arm Chair,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
AC-2053,Right One-Arm Chaise,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
AC-2053,Right One-Arm Loveseat,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
AC-2053,Sofa,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
AC-2055,Armless Chair,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
